gene,control_1_cnt
A2J10_04T0127800.1,81
A2J10_04T0127800.2,84
A2J10_03T0289800.1,805
A2J10_03T0289800.2,684
A2J10_10T0030400.1,8
A2J10_12T0062200.1,8
A2J10_03T0229200.1,116
A2J10_09T0029100.1,33
A2J10_01T0406600.2,533
A2J10_01T0406600.1,504
A2J10_10T0109800.1,79
A2J10_05T0044900.1,23
A2J10_01T0212500.1,190
A2J10_02T0257300.2,49
A2J10_02T0257300.1,48
A2J10_05T0024200.1,111
A2J10_04T0299300.2,571
A2J10_04T0299300.1,527
A2J10_04T0299300.3,446
A2J10_03T0070000.1,397
A2J10_03T0070000.2,441
A2J10_07T0283000.1,1415
A2J10_08T0180000.1,13
A2J10_04T0267800.2,684
A2J10_04T0267800.1,138
A2J10_04T0267800.3,217
A2J10_04T0267800.4,23
A2J10_10T0157600.1,8
A2J10_12T0081700.1,2
A2J10_01T0402000.1,146
A2J10_08T0039300.1,1
A2J10_02T0136900.1,2
A2J10_02T0136900.2,2
A2J10_01T0333100.1,1
A2J10_02T0403400.3,581
A2J10_02T0403400.1,574
A2J10_02T0403400.4,160
A2J10_02T0403400.2,430
A2J10_09T0211700.1,643
A2J10_09T0211700.3,647
A2J10_09T0211700.4,641
A2J10_09T0211700.2,647
A2J10_02T0376400.1,316
A2J10_11T0008200.4,883
A2J10_11T0008200.6,856
A2J10_11T0008200.5,694
A2J10_11T0008200.2,623
A2J10_11T0008200.3,890
A2J10_11T0008200.1,777
A2J10_03T0235700.1,8
A2J10_02T0173400.1,17
A2J10_02T0173400.3,23
A2J10_02T0173400.2,21
A2J10_06T0179400.1,93
A2J10_05T0090100.1,277
A2J10_01T0173100.1,19
A2J10_01T0173100.2,19
A2J10_01T0173100.3,16
A2J10_08T0009500.1,132
A2J10_08T0009500.3,81
A2J10_08T0009500.4,54
A2J10_08T0009500.2,94
A2J10_01T0360500.1,27
A2J10_06T0023600.1,12
A2J10_06T0175600.1,63
A2J10_02T0267300.1,196
A2J10_09T0195800.1,1
A2J10_09T0195800.3,1
A2J10_09T0195800.4,510
A2J10_09T0195800.2,784
A2J10_04T0322200.1,4
A2J10_10T0075500.1,31
A2J10_05T0207400.5,413
A2J10_05T0207400.4,418
A2J10_05T0207400.1,508
A2J10_05T0207400.3,479
A2J10_05T0207400.2,540
A2J10_02T0031500.2,796
A2J10_02T0031500.4,684
A2J10_02T0031500.3,760
A2J10_02T0031500.1,819
A2J10_04T0297800.1,7
A2J10_10T0099900.1,14
A2J10_03T0151700.1,224
A2J10_02T0251800.1,6285
A2J10_10T0170000.3,1181
A2J10_10T0170000.1,1222
A2J10_10T0170000.5,1391
A2J10_10T0170000.2,1048
A2J10_10T0170000.4,1222
A2J10_06T0053400.3,2591
A2J10_06T0053400.2,2357
A2J10_06T0053400.1,2593
A2J10_03T0064100.1,5
A2J10_03T0246500.1,2
A2J10_08T0126600.1,1
A2J10_04T0247600.1,4
A2J10_03T0380500.1,1624
A2J10_08T0048400.1,1
A2J10_03T0034900.1,292
A2J10_03T0034900.2,268
A2J10_05T0229300.2,74
A2J10_05T0229300.1,387
A2J10_10T0006300.1,3816
A2J10_10T0006300.2,3785
A2J10_10T0006300.3,3596
A2J10_09T0208700.1,34
A2J10_07T0035100.1,303
A2J10_09T0213000.1,105
A2J10_05T0050800.1,143
A2J10_05T0050800.2,139
A2J10_09T0038900.2,1635
A2J10_09T0038900.4,1693
A2J10_09T0038900.1,1607
A2J10_09T0038900.3,1312
A2J10_09T0140800.1,27
A2J10_02T0129800.1,10
A2J10_07T0241100.1,304
A2J10_04T0203900.1,556
A2J10_04T0203900.2,511
A2J10_12T0109700.1,370
A2J10_02T0027100.1,638
A2J10_05T0173100.1,60
A2J10_09T0062300.1,20
A2J10_02T0083100.1,67
A2J10_07T0052300.1,6
A2J10_06T0190000.1,2074
A2J10_10T0074300.5,2037
A2J10_10T0074300.3,2069
A2J10_10T0074300.6,1929
A2J10_10T0074300.4,1959
A2J10_10T0074300.2,2050
A2J10_10T0074300.1,2168
A2J10_01T0345300.1,52
A2J10_07T0194200.1,649
A2J10_07T0194200.2,686
A2J10_02T0084900.1,67
A2J10_02T0084900.2,64
A2J10_10T0188500.1,1344
A2J10_10T0188500.3,250
A2J10_10T0188500.2,1294
A2J10_07T0000500.1,29
A2J10_04T0272600.1,617
A2J10_03T0299000.1,54
A2J10_06T0295000.3,196
A2J10_06T0295000.1,196
A2J10_06T0295000.2,197
A2J10_03T0292200.1,2
A2J10_04T0189300.1,67
A2J10_05T0016400.1,185
A2J10_06T0299500.1,4
A2J10_06T0254000.1,896
A2J10_07T0014500.1,49
A2J10_03T0217000.1,332
A2J10_03T0217000.2,348
A2J10_05T0206800.2,208
A2J10_05T0206800.1,191
A2J10_05T0234000.1,46
A2J10_02T0367700.1,573
A2J10_02T0146200.1,201
A2J10_10T0129200.1,50
A2J10_10T0010700.1,292
A2J10_02T0067700.1,1198
A2J10_01T0185700.1,295
A2J10_04T0124100.1,12
A2J10_04T0124100.3,12
A2J10_04T0124100.2,12
A2J10_12T0042000.1,33
A2J10_06T0054800.1,1
A2J10_01T0209700.3,101
A2J10_01T0209700.1,76
A2J10_01T0209700.2,68
A2J10_01T0093200.1,1334
A2J10_01T0093200.2,623
A2J10_07T0142600.1,1016
A2J10_09T0034400.1,1157
A2J10_09T0034400.2,1133
A2J10_02T0082000.1,103
A2J10_05T0144600.1,71
A2J10_09T0076300.1,1062
A2J10_07T0270200.1,557
A2J10_07T0270200.3,637
A2J10_07T0270200.4,719
A2J10_07T0270200.2,434
A2J10_12T0194700.1,89
A2J10_12T0194700.2,110
A2J10_12T0194700.3,111
A2J10_03T0261100.1,20
A2J10_08T0183600.1,1
A2J10_08T0175000.1,1
A2J10_08T0169400.1,450
A2J10_03T0273300.1,2
A2J10_03T0273300.2,2
A2J10_03T0025600.1,3
A2J10_03T0359800.2,169
A2J10_03T0359800.3,159
A2J10_03T0359800.1,162
A2J10_11T0066100.1,36
A2J10_08T0174800.1,161
A2J10_04T0279500.2,791
A2J10_04T0279500.1,790
A2J10_04T0219500.1,413
A2J10_03T0242300.1,246
A2J10_06T0220800.1,188
A2J10_04T0216000.1,262
A2J10_08T0098000.2,71
A2J10_08T0098000.1,141
A2J10_05T0122600.1,3
A2J10_02T0366300.1,108
A2J10_04T0119600.1,582
A2J10_11T0042500.1,1923
A2J10_07T0003500.1,555
A2J10_03T0368600.2,287
A2J10_03T0368600.1,274
A2J10_06T0302200.2,691
A2J10_06T0302200.3,768
A2J10_06T0302200.1,783
A2J10_06T0299000.1,344
A2J10_04T0072500.1,114
A2J10_09T0031100.1,479
A2J10_10T0089600.1,385
A2J10_01T0460900.1,225
A2J10_06T0144200.1,1
A2J10_12T0128000.1,3596
A2J10_12T0128000.2,2872
A2J10_11T0222300.1,84
A2J10_03T0026600.4,1732
A2J10_03T0026600.1,862
A2J10_03T0026600.3,1600
A2J10_03T0026600.2,859
A2J10_02T0330400.1,14
A2J10_09T0045100.1,334
A2J10_04T0213400.1,68
A2J10_08T0096100.1,1
A2J10_04T0029800.1,1
A2J10_04T0029800.2,1
A2J10_02T0418100.1,71
A2J10_06T0016400.1,1011
A2J10_06T0016400.2,818
A2J10_02T0135000.1,152
A2J10_04T0051000.1,8
A2J10_12T0159300.1,528
A2J10_10T0022400.1,84
A2J10_07T0288100.1,125
A2J10_06T0083600.1,5758
A2J10_07T0253700.1,486
A2J10_07T0253700.2,501
A2J10_10T0183800.1,1466
A2J10_01T0503500.4,660
A2J10_01T0503500.2,652
A2J10_01T0503500.3,665
A2J10_01T0503500.1,667
A2J10_02T0040000.1,74
A2J10_07T0002100.2,213
A2J10_07T0002100.1,240
A2J10_01T0327000.1,162
A2J10_08T0125800.1,593
A2J10_08T0125800.2,584
A2J10_01T0088700.2,584
A2J10_01T0088700.1,576
A2J10_06T0043500.2,72
A2J10_06T0043500.1,115
A2J10_03T0171800.1,1841
A2J10_02T0040800.2,1096
A2J10_02T0040800.1,1188
A2J10_07T0017900.3,66
A2J10_07T0017900.1,74
A2J10_07T0017900.2,1
A2J10_01T0296300.2,20
A2J10_01T0296300.1,28
A2J10_03T0325900.1,601
A2J10_03T0089400.1,8
A2J10_01T0325000.1,28
A2J10_01T0353700.1,435
A2J10_01T0353700.2,436
A2J10_01T0353700.3,457
A2J10_09T0188600.1,68
A2J10_09T0192700.1,686
A2J10_03T0352300.3,39
A2J10_03T0352300.2,42
A2J10_03T0352300.1,42
A2J10_08T0020700.3,309
A2J10_08T0020700.1,308
A2J10_08T0020700.2,252
A2J10_04T0122800.1,108
A2J10_04T0122800.2,69
A2J10_04T0122800.3,49
A2J10_04T0013700.2,108
A2J10_04T0013700.1,114
A2J10_08T0224000.1,41
A2J10_06T0298500.2,683
A2J10_06T0298500.3,585
A2J10_06T0298500.4,318
A2J10_06T0298500.1,674
A2J10_03T0088200.1,899
A2J10_08T0029600.1,104
A2J10_01T0454000.1,6
A2J10_05T0200500.2,13
A2J10_05T0200500.1,35
