gene,drought_3_cnt
A2J10_04T0127800.1,59
A2J10_04T0127800.2,60
A2J10_03T0289800.1,405
A2J10_03T0289800.2,363
A2J10_10T0030400.1,9
A2J10_03T0229200.1,64
A2J10_09T0029100.1,15
A2J10_01T0406600.2,451
A2J10_01T0406600.1,424
A2J10_10T0109800.1,41
A2J10_05T0044900.1,4
A2J10_01T0212500.1,110
A2J10_02T0257300.3,1
A2J10_02T0257300.4,1
A2J10_02T0257300.2,32
A2J10_02T0257300.1,32
A2J10_05T0024200.1,76
A2J10_04T0299300.2,331
A2J10_04T0299300.1,293
A2J10_04T0299300.3,212
A2J10_03T0070000.1,228
A2J10_03T0070000.2,252
A2J10_08T0206600.1,6
A2J10_07T0283000.1,964
A2J10_08T0180000.1,9
A2J10_04T0267800.2,498
A2J10_04T0267800.1,87
A2J10_04T0267800.3,137
A2J10_04T0267800.4,5
A2J10_10T0157600.1,1
A2J10_01T0402000.1,104
A2J10_02T0403400.3,306
A2J10_02T0403400.1,304
A2J10_02T0403400.4,96
A2J10_02T0403400.2,221
A2J10_09T0211700.1,286
A2J10_09T0211700.3,290
A2J10_09T0211700.4,290
A2J10_09T0211700.2,291
A2J10_02T0376400.1,167
A2J10_11T0008200.4,739
A2J10_11T0008200.6,655
A2J10_11T0008200.5,566
A2J10_11T0008200.2,504
A2J10_11T0008200.3,747
A2J10_11T0008200.1,697
A2J10_03T0235700.1,6
A2J10_02T0173400.1,9
A2J10_02T0173400.3,9
A2J10_02T0173400.2,9
A2J10_06T0179400.1,14
A2J10_05T0090100.1,192
A2J10_01T0173100.1,13
A2J10_01T0173100.2,13
A2J10_01T0173100.3,8
A2J10_08T0009500.1,95
A2J10_08T0009500.3,76
A2J10_08T0009500.4,62
A2J10_08T0009500.2,87
A2J10_01T0360500.1,24
A2J10_06T0023600.1,20
A2J10_06T0175600.1,12
A2J10_02T0267300.1,112
A2J10_09T0195800.1,3
A2J10_09T0195800.3,3
A2J10_09T0195800.4,334
A2J10_09T0195800.2,506
A2J10_10T0075500.1,21
A2J10_05T0207400.5,551
A2J10_05T0207400.4,574
A2J10_05T0207400.1,720
A2J10_05T0207400.3,680
A2J10_05T0207400.2,755
A2J10_02T0031500.2,539
A2J10_02T0031500.4,481
A2J10_02T0031500.3,516
A2J10_02T0031500.1,555
A2J10_04T0297800.1,4
A2J10_10T0099900.1,5
A2J10_03T0151700.1,113
A2J10_02T0251800.1,6543
A2J10_10T0170000.3,675
A2J10_10T0170000.1,656
A2J10_10T0170000.5,803
A2J10_10T0170000.2,561
A2J10_10T0170000.4,691
A2J10_06T0053400.3,1899
A2J10_06T0053400.2,1724
A2J10_06T0053400.1,1923
A2J10_03T0064100.1,5
A2J10_03T0246500.1,12
A2J10_03T0246500.2,12
A2J10_06T0281600.1,2
A2J10_03T0380500.1,1002
A2J10_03T0034900.1,172
A2J10_03T0034900.2,159
A2J10_05T0229300.2,67
A2J10_05T0229300.1,318
A2J10_10T0006300.1,2995
A2J10_10T0006300.2,2990
A2J10_10T0006300.3,2832
A2J10_09T0208700.1,10
A2J10_07T0035100.1,181
A2J10_09T0213000.1,80
A2J10_05T0050800.1,115
A2J10_05T0050800.2,121
A2J10_09T0038900.2,1015
A2J10_09T0038900.4,1061
A2J10_09T0038900.1,1000
A2J10_09T0038900.3,874
A2J10_09T0140800.1,9
A2J10_02T0129800.1,7
A2J10_07T0241100.1,198
A2J10_04T0203900.1,532
A2J10_04T0203900.2,458
A2J10_12T0109700.1,244
A2J10_02T0027100.1,313
A2J10_05T0173100.1,12
A2J10_09T0062300.1,22
A2J10_02T0083100.1,23
A2J10_06T0190000.1,1611
A2J10_10T0074300.5,1498
A2J10_10T0074300.3,1535
A2J10_10T0074300.6,1392
A2J10_10T0074300.4,1398
A2J10_10T0074300.2,1509
A2J10_10T0074300.1,1557
A2J10_01T0345300.1,50
A2J10_07T0194200.1,346
A2J10_07T0194200.2,353
A2J10_02T0084900.1,45
A2J10_02T0084900.2,47
A2J10_10T0188500.1,892
A2J10_10T0188500.3,137
A2J10_10T0188500.2,878
A2J10_07T0000500.1,20
A2J10_04T0272600.1,459
A2J10_03T0299000.1,38
A2J10_01T0160100.1,5
A2J10_01T0160100.2,5
A2J10_06T0295000.3,95
A2J10_06T0295000.1,95
A2J10_06T0295000.2,95
A2J10_04T0189300.1,40
A2J10_05T0016400.1,161
A2J10_06T0299500.1,3
A2J10_06T0254000.1,787
A2J10_07T0014500.1,33
A2J10_03T0217000.1,336
A2J10_03T0217000.2,375
A2J10_05T0206800.2,182
A2J10_05T0206800.1,175
A2J10_05T0234000.1,29
A2J10_02T0367700.1,301
A2J10_02T0146200.1,113
A2J10_10T0129200.1,31
A2J10_10T0010700.1,271
A2J10_02T0067700.1,941
A2J10_01T0185700.1,205
A2J10_04T0124100.1,13
A2J10_04T0124100.3,20
A2J10_04T0124100.2,20
A2J10_12T0042000.1,10
A2J10_06T0054800.1,5
A2J10_01T0209700.3,88
A2J10_01T0209700.1,46
A2J10_01T0209700.2,71
A2J10_01T0093200.1,1403
