,gene
208,A2J10_09T0031100.1
254,A2J10_07T0017900.3
1631,A2J10_03T0096000.1
2427,A2J10_11T0015400.1
2499,A2J10_05T0202800.1
2654,A2J10_06T0007800.1
2986,A2J10_01T0137400.2
3250,A2J10_07T0294500.1
3251,A2J10_07T0294500.2
3860,A2J10_01T0313100.2
3861,A2J10_01T0313100.1
4026,A2J10_06T0286600.1
4162,A2J10_01T0069100.4
4164,A2J10_01T0069100.3
4938,A2J10_09T0163900.4
4939,A2J10_09T0163900.2
5004,A2J10_07T0245300.1
5029,A2J10_02T0262900.1
5125,A2J10_03T0029900.8
5403,A2J10_02T0326300.1
5572,A2J10_08T0185700.1
6524,A2J10_02T0204000.1
6798,A2J10_02T0164200.3
7348,A2J10_09T0213800.1
8137,A2J10_02T0014000.1
8310,A2J10_02T0069200.1
8456,A2J10_06T0016700.5
8683,A2J10_08T0149200.2
8684,A2J10_08T0149200.1
8921,A2J10_12T0101000.2
8951,A2J10_07T0191100.1
8960,A2J10_05T0263900.1
9032,A2J10_02T0053500.1
9092,A2J10_12T0060700.2
9093,A2J10_12T0060700.1
9422,A2J10_09T0177300.2
9636,A2J10_06T0109900.1
9739,A2J10_03T0290700.1
9813,A2J10_12T0168500.1
9985,A2J10_04T0096800.1
10023,A2J10_09T0153000.4
10148,A2J10_03T0243000.1
10599,A2J10_03T0094500.3
10875,A2J10_03T0322000.4
10965,A2J10_12T0141000.1
11480,A2J10_10T0121700.1
11573,A2J10_06T0253200.1
11669,A2J10_03T0083800.2
11670,A2J10_03T0083800.1
11752,A2J10_04T0152300.3
11792,A2J10_03T0230300.1
12065,A2J10_07T0119300.1
12196,A2J10_08T0066800.1
12246,A2J10_02T0400700.1
12922,A2J10_09T0186800.1
12924,A2J10_09T0186800.2
13140,A2J10_01T0276800.1
13276,A2J10_02T0344300.1
13822,A2J10_04T0256200.2
14345,A2J10_02T0102900.1
14346,A2J10_02T0102900.2
14447,A2J10_01T0193700.1
14812,A2J10_03T0156300.1
15096,A2J10_05T0172300.1
15682,A2J10_04T0223100.1
15692,A2J10_01T0121000.3
15693,A2J10_01T0121000.2
15694,A2J10_01T0121000.1
16186,A2J10_12T0181600.2
16524,A2J10_08T0041400.2
17458,A2J10_04T0283800.1
17994,A2J10_06T0155600.1
19151,A2J10_04T0080100.2
19153,A2J10_04T0080100.1
19167,A2J10_05T0147200.1
19469,A2J10_02T0214500.2
19489,A2J10_01T0048700.1
20433,A2J10_03T0110200.1
20518,A2J10_02T0051900.1
20829,A2J10_01T0058700.2
20830,A2J10_06T0217600.1
20873,A2J10_09T0059600.1
21113,A2J10_01T0396100.2
21114,A2J10_01T0396100.1
21526,A2J10_11T0086500.1
21709,A2J10_02T0078800.6
21858,A2J10_06T0006300.2
22242,A2J10_03T0136000.1
22291,A2J10_01T0071600.1
22868,A2J10_01T0411100.4
22870,A2J10_01T0411100.1
22872,A2J10_01T0411100.3
23284,A2J10_07T0037700.1
23950,A2J10_12T0037800.1
24186,A2J10_08T0029000.1
24187,A2J10_08T0029000.5
24188,A2J10_08T0029000.3
25078,A2J10_07T0047600.5
25110,A2J10_05T0146300.1
25111,A2J10_05T0146300.3
25160,A2J10_04T0238700.1
25476,A2J10_06T0257400.1
25477,A2J10_06T0257400.2
25630,A2J10_08T0222000.2
25632,A2J10_08T0222000.1
27060,A2J10_01T0368900.5
27758,A2J10_11T0006900.1
27802,A2J10_04T0230400.1
28314,A2J10_01T0498600.1
28564,A2J10_01T0353200.1
28882,A2J10_11T0120100.1
29211,A2J10_03T0362700.2
30143,A2J10_04T0004600.1
30217,A2J10_12T0179200.1
30476,A2J10_08T0001900.1
30708,A2J10_06T0044500.2
30839,A2J10_01T0495500.2
30952,A2J10_04T0191700.1
31002,A2J10_07T0240500.3
31003,A2J10_07T0240500.4
31041,A2J10_12T0102000.3
31042,A2J10_12T0102000.5
31120,A2J10_01T0306600.1
31130,A2J10_06T0040200.2
31282,A2J10_04T0068300.1
31318,A2J10_05T0038300.1
31472,A2J10_09T0109500.1
32676,A2J10_06T0074100.1
32944,A2J10_05T0198800.1
33572,A2J10_03T0242800.1
33879,A2J10_01T0094100.1
34294,A2J10_05T0225600.1
34295,A2J10_05T0225600.2
34446,A2J10_06T0294500.1
35052,A2J10_05T0004000.1
35154,A2J10_08T0190500.1
35455,A2J10_05T0080600.4
35459,A2J10_05T0080600.3
35964,A2J10_01T0013500.1
36435,A2J10_08T0213900.2
39111,A2J10_06T0016100.2
39213,A2J10_01T0378400.1
39260,A2J10_03T0013100.1
39346,A2J10_09T0084900.1
39562,A2J10_06T0029500.3
39565,A2J10_10T0174100.5
40044,A2J10_06T0184800.2
40058,A2J10_01T0120200.1
